,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,0,1,2,3,4,5,6,7,8
0,,,0.008289254136626206,0.004121312057569559,0.00020100688951794638,2.0113143632017487,0.6572736074717558,0.32678810408605763,-5.4915837057433725,,,,,,,,,
0,,,,0.019093973166269224,0.0005900421923421117,,,0.9700242972994847,-3.9583825347561246,,,,,,,,,
0,,,,0.04760534126660986,0.00022688329562114124,,,0.9952566852640115,-3.0448103125565997,,,,,,,,,
0,,,,0.1347498968321824,0.030507277097226566,,,0.815395142178469,-2.004334834817202,,,,,,,,,
0,,,,0.02981321733627215,0.011966323263799499,,,0.713584134915572,-3.5128034490290183,,,,,,,,,
0,,,,0.15587296560983827,0.019221322839840772,,,0.8902230163529015,-1.8587139264875512,,,,,,,,,
0,,,,0.04559830243897716,0.0009354449497929015,,,0.9798974937054252,-3.08788479037016,,,,,,,,,
0,,,,0.06023792163972429,0.040818619647442,,,0.5960813706116244,-2.8094531974182817,,,,,,,,,
0,,,0.005529585054622352,0.12490792055275148,0.033952541243492715,0.04426929077157346,0.03363698204696511,0.7598265402653424,-2.0801784487071258,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
0,,,,0.1400840277940574,0.055934055887872106,,,0.7146484914186081,-1.9655128378909494,,,,,,,,,
0,,,,0.09707111364696754,0.07277859409186777,,,0.5715118085232519,-2.332311438706448,,,,,,,,,
0,,,,0.016517689022174945,0.0012229995111941781,,,0.9310624551638008,-4.103323410373635,,,,,,,,,
0,,,,0.013972356778428521,0.0039963841895912485,,,0.7775924202645086,-4.270674417119617,,,,,,,,,
0,,,,0.1378793256912235,0.027901414195049108,,,0.8316968894324529,-1.9813764278935637,,,,,,,,,
0,,,,0.16439739292773234,0.03724799585815899,,,0.8152797042251771,-1.8054686545896164,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
0,,,,0.19798677641582055,0.06118358328059755,,,0.7639252291339735,-1.6195550362965554,,,,,,,,,
0,,,,0.18188433866457102,0.021966573325734474,,,0.8922419668802897,-1.7043842957652469,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
0,,,,0.15742962864319732,0.023513894104753342,,,0.8700484341873483,-1.8487767228277374,,,,,,,,,
0,,,,0.07994223226283331,0.017019136908269276,,,0.8244750764787931,-2.526451001860246,,,,,,,,,
0,,,,0.1522347290983901,0.037316805501329105,,,0.8031310821084516,-1.882331678911068,,,,,,,,,
0,,,0.006783862881474528,0.019009516074015933,0.0017319189336217184,0.3568666795651561,0.24645919941734515,0.6906198127481584,-3.9628155791963535,,,,,,,,,
0,,,,0.019118854571781238,0.0002363764569435525,,,0.9877874639371264,-3.957080280487015,,,,,,,,,
0,,,,0.1839398998239061,0.0073155927291050265,,,0.961749633270912,-1.693146206120618,,,,,,,,,
0,,,,0.16017936496183094,0.007002190207854576,,,0.9581162515162183,-1.8314610606229218,,,,,,,,,
0,,,,0.13627370557090554,0.0013131041552708516,,,0.9904561770282763,-1.9930898747310561,,,,,,,,,
0,,,,0.06851480358780554,,,,1.0,-2.6807054462916424,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
0,,,,0.161450376304073,0.014566924498542851,,,0.9172415186909492,-1.8235574510027865,,,,,,,,,
0,,,,0.0325508254399558,0.0010643423960738343,,,0.968337436205419,-3.4249525515106694,,,,,,,,,
0,,,,0.042552737200403735,0.0016729241328137575,,,0.9621729990602257,-3.157011096997612,,,,,,,,,
0,,,0.005792871923032335,0.06649935994717387,0.012415676516408673,0.08711169442283517,0.06838643561582375,0.7850431112484153,-2.710562956221176,,,,,,,,,
0,,,,0.03552847041791077,0.03705589230384066,,,0.4894782992599578,-3.3374209203146608,,,,,,,,,
0,,,,0.21641719255156408,0.03651988271265287,,,0.85561672730459,-1.5305472871454706,,,,,,,,,
0,,,,0.20814254795344247,0.038448207149412814,,,0.8440809058986185,-1.5695321073106807,,,,,,,,,
0,,,,0.0602517987942359,0.0007420788901651739,,,0.9878335511966482,-2.8092228515510493,,,,,,,,,
0,,,0.02138002758080086,0.014853098114736228,0.003991446287902863,1.4394321922366526,0.5315165961145043,0.369254348333429,-4.209546808238103,,,,,,,,,
0,,,,0.04047302082678094,0.008607726952598161,,,0.8246211123088342,-3.207119679272919,,,,,,,,,
0,,,0.0007587233201830486,0.08495243594107149,0.010951273977317547,0.008931154378072787,0.007849205681698982,0.8788567915665934,-2.4656637562774173,,,,,,,,,
0,,,,0.14042393103750495,0.00978823125980529,,,0.9348372920667252,-1.963089352930126,,,,,,,,,
0,,,0.044057911802396044,0.048181536661882254,0.0009555420758709522,0.9144148330422901,0.47274978565951453,0.5169970658575818,-3.0327793881180045,,,,,,,,,
0,,,,0.16217830725448396,0.015626409780185563,,,0.9121147625282707,-1.819058886969426,,,,,,,,,
0,,,0.008553580426436523,0.06295055486437297,0.0005068835806879585,0.13587776064667295,0.11878154983059268,0.8741794776811486,-2.7654057041640985,,,,,,,,,
0,,,,0.04029969918013346,0.012756236806777848,,,0.759570035482462,-3.211411274570177,,,,,,,,,
0,,,,0.11011758606316495,0.032421634210327975,,,0.772542363090524,-2.2062065199145353,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
0,,,,0.05963118255609021,0.023205479416065083,,,0.7198646243873834,-2.819576644480958,,,,,,,,,
0,,,0.009709105806223865,0.02908444124094419,0.010506881328480423,0.33382473212363734,0.19693755462416213,0.5899429720839952,-3.537551913048778,,,,,,,,,
0,,,,0.054854577700284596,0.01000862118692974,,,0.8456964602635005,-2.903069637214933,,,,,,,,,
0,,,,0.06380407229595575,0.004026021627164542,,,0.9406454953205917,-2.751938261578167,,,,,,,,,
0,,,,0.022845518883051835,0.0032118644321312514,,,0.8767387963218944,-3.779000291024938,,,,,,,,,
0,,,,0.1416961096673675,0.032313674562292734,,,0.8142996688068715,-1.9540705873739812,,,,,,,,,
