,HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,815.9090909090908,64.94125012167511,,,,,,,63.18471090626032,63.22160353744717,0.07959373273965753,0.07744087130572297,830.0,14.825999999999999,0.017862650602409637,20.0,806.6666666666666,840.0,1.5151515151515151,3.0303030303030303,326.6666666666667,853.3333333333334,3.8823529411764706,515.625,,,,,,,,,,,,,,,,,,,,,,,,
0,788.3809523809524,44.209627116559666,,,,,,,26.562295750848715,26.920398640123395,0.056076477980656736,0.033692208913253384,793.3333333333334,49.41999999999989,0.06229411764705868,65.0,752.0,827.3333333333333,0.0,62.857142857142854,693.3333333333334,863.3333333333333,8.75,109.375,,,,,,,,,,,,,,,,,,,,,,,,
0,900.6896551724137,35.78351254579325,,,,,,,26.75580340548601,27.090980469708228,0.03972901469479343,0.029705907303181255,906.6666666666666,29.651999999999997,0.03270441176470588,50.0,868.6666666666667,924.6666666666666,3.4482758620689653,48.275862068965516,836.6666666666666,990.0,4.142857142857143,70.3125,,,,,,,,,,,,,,,,,,,,,,,,
0,411.256038647343,73.1394528184804,,,,,,,99.1079493326092,99.84041260664162,0.1778440823848871,0.24098843547339482,386.6666666666667,39.535999999999945,0.10224827586206882,60.00000000000006,363.3333333333333,438.0,34.78260869565217,63.76811594202898,336.6666666666667,680.0,4.0588235294117645,23.4375,,,,,,,,,,,,,,,,,,,,,,,,
0,612.2222222222222,70.18374153432954,,,,,,,85.37055296254859,86.35722254041907,0.1146376903464548,0.13944373442158572,600.0,19.768000000000054,0.032946666666666756,26.666666666666742,576.6666666666666,615.3333333333333,6.666666666666667,22.22222222222222,503.3333333333333,956.6666666666666,5.0,101.5625,,,,,,,,,,,,,,,,,,,,,,,,
0,834.2222222222223,272.73263588519035,,,,,,,359.30221860042525,365.53621079340985,0.3269304372624817,0.4307032455252833,821.6666666666667,328.6430000000001,0.39997119675456394,435.8333333333335,570.6666666666667,1061.3333333333335,93.33333333333333,96.66666666666667,390.0,1363.3333333333333,15.0,210.9375,,,,,,,,,,,,,,,,,,,,,,,,
0,713.1666666666666,31.855711023085405,,,,,,,21.129097151528914,21.38410512546164,0.04466797526022726,0.02962715188342451,716.6666666666666,34.59399999999989,0.04827069767441845,44.16666666666674,686.0,740.6666666666666,2.5,27.500000000000004,650.0,766.6666666666667,8.0,54.6875,,,,,,,,,,,,,,,,,,,,,,,,
0,648.4126984126984,186.55083237485073,,,,,,,253.5712404507653,256.7154953025923,0.28770385409095706,0.3910645813561374,618.3333333333333,150.73100000000002,0.2437698113207548,220.83333333333337,504.0,750.0,78.57142857142857,92.85714285714286,406.6666666666667,1286.6666666666665,14.0,117.1875,,,,,,,,,,,,,,,,,,,,,,,,
0,843.8805970149252,233.87426261154963,,,,,,,369.6269390535193,372.4568361489621,0.2771414148385891,0.43800857652256453,886.6666666666667,212.5060000000002,0.23966842105263178,351.66666666666663,554.0000000000001,1026.6666666666667,85.07462686567165,92.53731343283582,390.0,1360.0,22.333333333333332,93.75,,,,,,,,,,,,,,,,,,,,,,,,
0,740.2380952380953,284.107432086936,,,,,,,434.22590520619195,447.6954283675416,0.38380547274529786,0.5866030240804136,690.0,328.643,0.4762942028985507,499.16666666666663,475.33333333333337,1097.3333333333333,85.71428571428571,92.85714285714286,390.0,1173.3333333333333,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,1025.6,143.61961075212741,,,,,,,245.01795096746747,250.01058753748282,0.14003472187219912,0.23890205827561184,1023.3333333333335,74.12999999999965,0.07243973941368044,96.66666666666663,952.0000000000001,1113.3333333333335,56.00000000000001,76.0,736.6666666666667,1263.3333333333335,8.333333333333334,335.9375,,,,,,,,,,,,,,,,,,,,,,,,
